<<<<<<< HEAD
﻿#tk0,#tk1,#tk2,#tk3,#tk4,cpu_usage
1,0,0,0,0,52.41666667
1,1,0,0,0,88.1875
1,0,1,1,0,99.03265306
0,1,1,0,2,99.83146067
1,1,0,2,1,75.41372549
2,1,0,0,3,99.2
3,2,0,1,1,78.36607143
1,0,2,2,3,99.63855422
1,1,0,5,2,98.67721519
4,0,3,2,1,99.6583815
1,0,0,0,0,53.73333333
0,0,1,0,1,98.73134328
0,0,1,2,0,99.28235294
2,1,0,0,1,68.925
1,1,1,0,2,99.28571429
0,1,2,2,1,99.92063492
0,2,2,3,0,99.13942308
2,3,3,0,0,99.7
1,3,0,1,4,99.67980769
0,4,5,1,0,99.9086758
0,0,1,0,0,92.14390244
0,1,0,1,0,96.66666667
0,1,1,1,0,99.79148936
1,0,0,1,2,98.5
1,3,0,0,1,73.2875
2,1,1,1,1,99.52380952
0,3,2,2,0,99.63365385
1,2,2,3,0,99.64722222
3,2,0,1,3,98.48791209
2,3,2,2,1,99.77446809
0,0,0,0,1,56.24705882
1,0,0,1,0,96.74444444
1,1,1,0,0,98.56956522
1,0,1,0,2,99.83372093
0,3,1,0,1,99.39230769
0,2,0,2,2,98.01451613
0,1,1,3,2,99.38679245
0,1,3,3,1,99.48988095
1,2,1,3,2,99.32566372
3,2,2,1,2,100
0,1,0,0,0,58.53333333
2,0,0,0,0,91.42857143
0,0,0,0,3,98.1
1,2,1,0,0,99.88571429
1,1,0,0,3,98.87428571
1,2,1,1,1,99.09638554
2,2,0,3,0,99.22580645
2,2,1,2,1,98.98404255
1,1,2,3,2,99.8130719
3,0,0,3,4,99.65217391
0,0,0,1,0,65.675
1,0,1,0,0,98.64047619
1,1,0,0,1,67.28
1,1,1,0,1,99.80821918
1,1,2,1,0,99.143
2,3,0,1,0,98.6125
4,0,2,1,0,99.70588235
0,3,2,1,2,99.59006623
3,1,1,2,2,99.23482143
0,4,1,2,3,99.24963504
0,1,0,0,0,58.95
0,0,1,0,1,99.45074627
0,1,1,1,0,99.10625
1,1,0,2,0,95.48947368
0,1,2,2,0,99.27428571
2,0,2,2,0,99.23809524
6,0,0,1,0,97
4,2,0,1,1,78.75833333
2,4,2,1,0,99.68
3,1,3,2,1,99.68390805
0,1,0,0,0,56.03333333
1,0,0,0,1,62.36486486
0,0,1,0,2,98.87738095
1,0,1,1,1,99.23076923
2,0,1,1,1,99.0625
1,3,2,0,0,99.240625
2,0,0,1,4,99.58762887
2,2,2,0,2,99.33472222
2,0,5,0,2,99.6028
2,1,2,4,1,99.32605634
0,0,1,0,0,94.485
0,1,1,0,0,99.4047619
2,1,0,0,0,93.50909091
0,1,2,0,1,99.37863248
1,1,0,3,0,98.4125
2,0,1,3,0,98.69354839
1,1,2,0,3,99.81019108
0,1,4,1,2,99.66981132
1,2,4,1,1,99.97512438
2,1,4,2,1,99.85507246
1,0,0,0,0,53.95
0,1,1,0,0,99.78095238
0,0,1,0,2,99.88095238
2,0,0,1,1,72.69545455
2,1,1,1,0,99.22413793
1,0,3,0,2,99.71746988
0,1,2,2,2,99.59791667
1,3,2,0,2,99.86896552
0,1,1,3,4,99.63576159
=======
﻿#tk0,#tk1,#tk2,#tk3,#tk4,#tk5,cpu_usage
1,0,0,0,0,0,56.40909091
1,0,1,0,0,0,77.3075
0,2,0,0,1,0,69.09705882
1,0,0,1,1,1,85.47777778
0,1,3,1,0,0,73.55338983
3,1,1,1,0,0,78.90895522
1,0,3,0,1,2,83.87090909
1,2,1,0,2,2,80.70379747
3,0,3,0,1,2,85.095
2,2,1,3,2,0,81.18810811
0,0,0,0,1,0,40.0826087
0,0,1,1,0,0,78.555
0,0,1,1,0,1,80.42407407
0,2,1,0,0,1,76.05060241
1,0,1,1,0,2,87.62794118
0,0,1,3,0,2,87.00909091
1,1,1,1,1,2,78.53503185
2,0,3,1,1,1,82.9989011
1,1,2,1,3,1,79.69476744
1,1,0,3,2,3,79.20844444
0,0,0,1,0,0,63.27894737
0,0,0,0,0,2,60.04864865
0,0,0,1,2,0,80.24561404
0,2,1,0,0,1,74.77156863
0,3,1,0,1,0,78.57189542
1,1,1,1,2,0,73.58295455
0,0,1,2,2,2,83.53913043
0,1,2,2,1,2,78.29111111
2,2,1,2,1,1,82.66818182
0,1,2,3,2,2,80.24
0,0,0,1,0,0,54.70689655
0,0,1,0,1,0,70.23809524
2,0,0,1,0,0,88.00895522
0,0,1,2,1,0,87.38382353
0,1,1,0,1,2,71.19444444
1,2,1,0,1,1,82.76538462
0,2,2,0,3,0,76.16917808
3,1,1,2,1,0,80.4920904
1,1,1,3,2,1,78.32261905
4,4,1,0,0,1,86.8138756
0,0,0,0,0,1,39.69166667
0,0,2,0,0,0,84.50540541
1,0,1,1,0,0,87.00740741
1,0,1,0,1,1,84.89275362
0,2,1,1,0,1,77.9979798
0,2,1,0,1,2,78.59369369
2,1,2,0,0,2,77.49261745
1,1,3,0,1,2,76.96071429
1,1,2,3,0,2,79.11954023
4,2,0,2,1,1,81.99123711
0,0,0,0,0,1,41.64324324
1,0,1,0,0,0,75.26923077
1,1,0,0,1,0,68.68082192
1,0,0,1,1,1,87.55844156
2,0,1,0,1,1,87.15243902
1,0,1,2,1,1,86.57631579
2,0,1,1,2,1,85.33969466
1,1,1,1,0,4,78.29565217
3,4,1,0,1,0,85.01666667
2,3,1,1,2,1,82.42
0,0,0,0,0,1,40.5875
0,0,2,0,0,0,82.77777778
0,0,2,0,0,1,81.98431373
0,0,1,1,0,2,84.84736842
2,1,0,0,2,0,76.50086957
1,1,2,0,2,0,75.0192
2,0,0,2,3,0,80.46078431
0,1,1,1,2,3,77.07556561
1,2,2,2,2,0,81.39263804
1,1,1,4,0,3,80.41686047
0,0,1,0,0,0,55.86111111
0,0,1,0,1,0,66.06428571
0,2,1,0,0,0,70.7
0,1,0,2,1,0,76.57674419
2,1,1,0,1,0,75.37920792
1,2,1,1,0,1,82.39316239
0,1,1,1,2,2,76.7944
2,2,0,1,2,1,82.50794702
3,3,0,0,2,1,82.50534979
0,3,0,3,2,2,83.79130435
0,1,0,0,0,0,41.91956522
1,1,0,0,0,0,61.82
0,1,0,1,0,1,74.6546875
0,0,1,0,3,0,77.5012987
0,0,1,1,2,1,85.75692308
2,2,1,1,0,0,83.81538462
2,2,1,0,0,2,82.59791667
2,2,0,0,1,3,82.96832298
3,0,2,1,2,1,85.72133333
3,2,3,1,1,0,82.73212435
1,0,0,0,0,0,59.55454545
0,0,1,0,1,0,71.5
0,1,0,1,1,0,70.10136986
0,1,1,0,1,1,68.04266667
1,0,2,0,1,1,85.44109589
0,1,0,0,3,2,73.20580645
1,2,1,2,0,1,82.97832168
0,2,1,1,3,1,78.49673203
1,3,1,1,2,1,84.81217949
>>>>>>> 75bd5f89560bdf171f5c2aeb9a960f1a96d4be04
